,agent,num_repeats,episode,avg_R_mean,avg_R_se,cum_R_mean,cum_R_se,time_mean
0,Qlearntab_default__training_results,10,0,,,-1.0,0.0,0.0035222768783568998
1,Qlearntab_default__training_results,10,1,-1.0,0.0,-1.6,0.26666666666666666,0.0019987821578978998
2,Qlearntab_default__training_results,10,2,-0.8,0.13333333333333333,-2.3,0.3,0.0034993886947631498
3,Qlearntab_default__training_results,10,3,-0.7666666666666666,0.09999999999999999,-2.4,0.5617433182117572,0.0025006532669067
4,Qlearntab_default__training_results,10,4,-0.6,0.1404358295529393,-3.0,0.7149203529842405,0.0020555257797241003
5,Qlearntab_default__training_results,10,5,-0.6,0.14298407059684812,-3.2,0.9285592184789413,0.00403881072998045
6,Qlearntab_default__training_results,10,6,-0.5333333333333334,0.1547598697464902,-3.8,0.9404490653110589,0.00350022315979
7,Qlearntab_default__training_results,10,7,-0.5428571428571428,0.13434986647300842,-4.1,0.9597453365925313,0.0050578117370605
8,Qlearntab_default__training_results,10,8,-0.5125,0.1199681670740664,-4.7,1.1647603473104098,0.00152695178985595
9,Qlearntab_default__training_results,10,9,-0.5222222222222221,0.12941781636782332,-4.8,1.3646326326972478,0.0060297250747680005
10,Qlearntab_default__training_results,10,10,-0.48,0.1364632632697248,-5.3,1.3420548092798263,0.0035860538482665504
11,Qlearntab_default__training_results,10,11,-0.4818181818181818,0.12200498266180237,-6.2,1.3316656236958784,0.0020004510879516497
12,Qlearntab_default__training_results,10,12,-0.5166666666666666,0.11097213530798988,-6.8,1.412641340027806,0.0019993782043456997
13,Qlearntab_default__training_results,10,13,-0.5230769230769232,0.10866471846367738,-6.9,1.545243598199901,0.0035246610641479
14,Qlearntab_default__training_results,10,14,-0.4928571428571429,0.11037454272856437,-7.3,1.6401219466856725,0.00350034236907955
15,Qlearntab_default__training_results,10,15,-0.4866666666666667,0.10934146311237816,-7.8,1.7562586496425987,0.0019997358322143503
16,Qlearntab_default__training_results,10,16,-0.4875,0.10976616560266242,-7.7,1.9324710720847658,0.0040818452835082505
17,Qlearntab_default__training_results,10,17,-0.45294117647058824,0.1136747689461627,-8.3,1.8381754238616315,0.00152397155761715
18,Qlearntab_default__training_results,10,18,-0.4611111111111111,0.10212085688120176,-9.1,1.7666666666666666,0.00200021266937255
19,Qlearntab_default__training_results,10,19,-0.47894736842105257,0.09298245614035086,-9.3,2.000277758490333,0.00403487682342525
20,Qlearntab_default__training_results,10,20,-0.46499999999999997,0.10001388792451665,-10.0,2.1081851067789197,0.0010020732879638
21,Qlearntab_default__training_results,10,21,-0.47619047619047616,0.10038976698947234,-10.7,2.324029068473781,0.00200092792510985
22,Qlearntab_default__training_results,10,22,-0.48636363636363633,0.10563768493062642,-11.0,2.5077657165072034,0.00205969810485835
23,Qlearntab_default__training_results,10,23,-0.4782608695652174,0.10903329202205232,-11.8,2.4979991993593593,0.0020281076431273998
24,Qlearntab_default__training_results,10,24,-0.4916666666666667,0.10408329997330663,-12.2,2.723559762108733,0.0029997825622558
25,Qlearntab_default__training_results,10,25,-0.488,0.1089423904843493,-12.7,3.0406505151949896,0.00152671337127685
26,Qlearntab_default__training_results,10,26,-0.4884615384615385,0.11694809673826882,-13.1,3.0421118395687627,0.00303113460540765
27,Qlearntab_default__training_results,10,27,-0.4851851851851851,0.11267080887291715,-13.5,3.052321520853704,0.00150024890899655
28,Qlearntab_default__training_results,10,28,-0.4821428571428572,0.10901148288763227,-13.6,2.8604583937233246,0.0039999485015869
29,Qlearntab_default__training_results,10,29,-0.46896551724137925,0.09863649633528705,-13.5,3.1171568242016097,0.00305306911468505
30,Qlearntab_default__training_results,10,30,-0.4499999999999999,0.103905227473387,-14.3,3.0841890704401083,0.00350022315979
31,Qlearntab_default__training_results,10,31,-0.4612903225806453,0.09948997001419704,-15.1,3.1,0.00203919410705565
32,Qlearntab_default__training_results,10,32,-0.471875,0.096875,-16.1,3.0999999999999996,0.001500129699707
33,Qlearntab_default__training_results,10,33,-0.48787878787878797,0.09393939393939395,-16.4,3.1524241113431706,0.0040396451950073
34,Qlearntab_default__training_results,10,34,-0.48235294117647054,0.0927183562159756,-16.3,3.3929665813594774,0.00203716754913325
35,Qlearntab_default__training_results,10,35,-0.46571428571428575,0.0969419023245565,-16.4,3.333999933346663,0.0020012855529785
36,Qlearntab_default__training_results,10,36,-0.45555555555555555,0.09261110925962954,-17.1,3.3613819909211284,0.00103712081909175
37,Qlearntab_default__training_results,10,37,-0.4621621621621622,0.09084816191678725,-17.3,3.2388269481403293,0.0050415992736816
38,Qlearntab_default__training_results,10,38,-0.4552631578947368,0.08523228810895604,-17.7,3.148368184031566,0.00253367424011225
39,Qlearntab_default__training_results,10,39,-0.45384615384615384,0.08072738933414272,-17.9,3.2195582857832457,0.0035564899444579497
40,Qlearntab_default__training_results,10,40,-0.44750000000000006,0.08048895714458117,-17.8,3.2687068459016695,0.0030251741409301
41,Qlearntab_default__training_results,10,41,-0.4341463414634146,0.0797245572171139,-18.1,3.236767935250636,0.0015006065368652001
42,Qlearntab_default__training_results,10,42,-0.4309523809523809,0.07706590322025324,-18.2,3.133333333333333,0.00549995899200435
43,Qlearntab_default__training_results,10,43,-0.42325581395348844,0.07286821705426356,-19.0,3.2659863237109037,0.00200259685516355
44,Qlearntab_default__training_results,10,44,-0.4318181818181818,0.07422696190252054,-19.8,3.2034703404623897,0.00100028514862055
45,Qlearntab_default__training_results,10,45,-0.44000000000000006,0.07118822978805311,-20.2,3.1615748537011665,0.0025016069412231003
